listing_id,make,model_year,mileage_km,city,condition_grade,photos_count,days_on_platform,listed_month,sale_price_sar
L00146,Hyundai,2023,27600,Riyadh,excellent,12,50,2024-10,57100
L00147,Ford,2014,235800,Madinah,excellent,21,51,2025-08,16300
L00148,Hyundai,2025,25300,Jeddah,excellent,19,78,2024-06,81800
L00149,Hyundai,2016,185700,Madinah,good,5,58,2024-09,34300
L00150,Kia,2019,124400,Jeddah,excellent,7,38,2025-10,46000
L00151,Toyota,2022,80900,Riyadh,good,4,68,2025-10,45900
L00152,BMW,2018,148400,Riyadh,excellent,22,30,2025-09,81600
L00153,Nissan,2024,51000,Riyadh,excellent,6,56,2024-11,88100
L00154,Chevrolet,2009,327600,Dammam,excellent,18,65,2025-01,13200
L00155,Toyota,2011,285300,Riyadh,good,15,23,2025-08,14000
L00156,Toyota,2024,28400,Dammam,good,21,68,2025-05,77200
L00157,Hyundai,2008,320500,Makkah,good,22,46,2024-04,14500
L00158,BMW,2010,270900,Riyadh,excellent,8,18,2024-08,53800
L00159,Hyundai,2021,72400,Jeddah,excellent,10,40,2024-05,42800
L00160,Toyota,2018,154300,Dammam,fair,24,63,2025-01,26600
L00161,Lexus,2012,315600,Makkah,good,14,5,2024-01,23900
L00162,Chevrolet,2014,227700,Makkah,good,18,16,2024-07,26500
L00163,Toyota,2014,305400,Makkah,good,15,70,2024-04,38200
L00164,Ford,2024,28600,Riyadh,good,13,16,2024-01,45100
L00165,Hyundai,2011,289600,Riyadh,good,11,37,2024-04,8000
L00166,Mercedes,2011,252700,Riyadh,excellent,15,27,2025-06,47600
L00167,Chevrolet,2014,208400,Riyadh,good,14,29,2025-02,22900
L00168,Ford,2012,284000,Madinah,excellent,19,36,2025-10,11500
L00169,Toyota,2020,135000,Riyadh,good,12,80,2025-09,63400
L00170,Lexus,2025,13600,Riyadh,good,18,16,2024-04,253100
L00171,Hyundai,2012,309500,Dammam,excellent,9,60,2024-10,17200
L00172,Toyota,2010,298900,Makkah,good,20,32,2025-07,8900
L00173,Kia,2011,267800,Riyadh,good,16,32,2025-03,12600
L00174,Kia,2017,146400,Jeddah,good,5,63,2024-05,24100
L00175,Toyota,2009,381100,Dammam,good,22,83,2025-10,19700
L00176,Hyundai,2016,168200,Jeddah,excellent,15,20,2025-03,22300
L00177,Toyota,2023,60900,Riyadh,excellent,4,30,2024-03,52200
L00178,Hyundai,2025,8000,Madinah,excellent,4,36,2025-04,74800
L00179,Mercedes,2017,195600,Jeddah,fair,11,75,2024-06,87800
L00180,Toyota,2013,212000,Riyadh,fair,13,5,2024-05,17000
L00181,Nissan,2016,198200,Jeddah,good,24,46,2025-10,27100
L00182,Nissan,2017,114400,Jeddah,good,14,35,2025-06,25300
L00183,Mercedes,2010,268300,Madinah,fair,23,40,2024-08,34600
L00184,Nissan,2023,76700,Jeddah,good,8,73,2025-01,61000
L00185,Mazda,2024,43200,Riyadh,excellent,20,42,2024-07,56000
L00186,Toyota,2023,79000,Riyadh,good,15,36,2025-05,72900
L00187,Toyota,2024,42200,Jeddah,excellent,10,70,2025-07,72300
L00188,BMW,2018,164800,Jeddah,excellent,15,34,2025-02,107600
L00189,Toyota,2011,294900,Makkah,good,20,3,2025-06,15600
L00190,Lexus,2014,224000,Riyadh,fair,16,27,2025-01,75300
L00191,Toyota,2023,100700,Jeddah,good,23,30,2025-02,57800
L00192,Hyundai,2024,45100,Jeddah,good,10,8,2024-08,65700
L00193,Mercedes,2021,131800,Dammam,good,16,48,2024-06,142300
L00194,Kia,2012,300500,Madinah,good,21,6,2024-06,19700
L00195,Mazda,2024,22000,Jeddah,excellent,23,35,2024-05,79200
L00196,Hyundai,2021,104600,Madinah,fair,8,29,2024-04,63400
L00197,Mercedes,2022,52000,Riyadh,excellent,23,14,2024-02,97400
L00198,Hyundai,2016,198700,Riyadh,good,21,33,2025-06,23400
L00199,Lexus,2015,259500,Dammam,excellent,19,75,2025-06,47100
L00200,Mercedes,2019,129700,Jeddah,good,6,72,2024-07,104600
L00201,Toyota,2008,355700,Makkah,good,17,39,2025-09,8600
L00202,Toyota,2023,69500,Riyadh,good,16,62,2024-07,49200
L00203,Ford,2018,138900,Riyadh,good,11,52,2024-08,46200
L00204,Mercedes,2015,201400,Jeddah,good,11,71,2024-05,93600
L00205,Chevrolet,2024,40600,Riyadh,excellent,3,63,2025-01,79600
L00206,Toyota,2017,149500,Jeddah,good,19,38,2024-06,19400
L00207,Kia,2008,338800,Riyadh,good,22,57,2024-03,8000
L00208,Toyota,2017,168800,Makkah,good,18,73,2024-02,22100
L00209,Hyundai,2021,111000,Riyadh,excellent,12,10,2024-09,32700
L00210,Mercedes,2021,105400,Makkah,fair,16,36,2024-08,178300
L00211,Ford,2021,80700,Makkah,good,16,5,2025-07,46300
L00212,Lexus,2013,234700,Dammam,good,14,67,2024-06,41900
L00213,Toyota,2020,155000,Madinah,good,8,38,2025-07,38000
L00214,Chevrolet,2022,71800,Riyadh,excellent,7,89,2024-12,63700
L00215,Nissan,2022,61000,Dammam,good,23,61,2025-06,36500
L00216,Ford,2012,303800,Dammam,good,15,12,2024-08,15200
L00217,Toyota,2024,28900,Jeddah,fair,20,81,2025-02,66500
L00218,Nissan,2011,334100,Riyadh,excellent,13,85,2025-05,8700
L00219,Nissan,2014,265500,Dammam,good,19,1,2024-11,17400
L00220,Toyota,2011,233500,Madinah,good,22,83,2024-06,12100
L00221,Toyota,2020,114400,Jeddah,good,18,0,2024-07,39700
L00222,Toyota,2020,148700,Riyadh,good,23,23,2024-07,41700
L00223,Nissan,2025,27000,Riyadh,excellent,24,75,2025-05,74900
L00224,Toyota,2018,157200,Riyadh,excellent,23,3,2025-06,28200
L00225,Hyundai,2023,64400,Dammam,good,9,20,2025-07,71700
L00226,Hyundai,2014,224600,Riyadh,excellent,10,31,2025-07,17100
L00227,Hyundai,2012,257100,Riyadh,fair,17,8,2024-11,14700
L00228,Toyota,2008,360500,Dammam,good,23,86,2025-06,8000
L00229,Toyota,2015,239700,Dammam,excellent,6,49,2025-10,31600
L00230,Ford,2016,194400,Jeddah,good,4,16,2024-12,36100
L00231,Mercedes,2011,306600,Riyadh,good,7,62,2024-09,22100
L00232,Nissan,2023,68000,Riyadh,good,23,80,2024-07,82200
L00233,Mercedes,2008,348600,Riyadh,fair,16,88,2024-11,25300
L00234,Lexus,2025,21600,Riyadh,excellent,9,38,2025-08,285100
L00235,Kia,2019,106600,Riyadh,excellent,10,85,2024-10,29800
L00236,Hyundai,2010,364900,Riyadh,excellent,10,61,2025-07,8000
L00237,Toyota,2018,156600,Jeddah,good,19,56,2025-02,22900
L00238,Hyundai,2009,268700,Makkah,excellent,20,58,2025-04,9600
L00239,BMW,2010,267400,Jeddah,excellent,24,78,2025-03,41000
L00240,Toyota,2015,191700,Dammam,excellent,12,58,2024-01,17800
L00241,Toyota,2023,58500,Riyadh,good,14,65,2025-03,84100
L00242,Lexus,2017,153800,Makkah,excellent,19,49,2024-07,126200
L00243,Nissan,2022,61100,Madinah,good,14,35,2025-08,40700
L00244,Kia,2012,292100,Riyadh,good,14,8,2025-08,18800
L00245,Toyota,2023,44300,Jeddah,good,6,56,2024-03,34300
L00246,Nissan,2012,251300,Jeddah,good,18,72,2025-10,15100
L00247,Toyota,2016,197200,Jeddah,good,4,20,2025-09,24900
L00248,Chevrolet,2009,328700,Riyadh,good,6,51,2025-06,8000
L00249,Nissan,2016,185700,Dammam,excellent,22,65,2025-09,32700
L00250,Kia,2025,15800,Dammam,good,16,86,2024-12,62800
L00251,Chevrolet,2013,310600,Riyadh,excellent,18,87,2025-05,13000
L00252,Kia,2017,195700,Riyadh,fair,7,5,2024-05,24100
L00253,Chevrolet,2022,74400,Riyadh,good,20,56,2024-08,50500
L00254,Chevrolet,2017,157400,Madinah,good,6,19,2025-06,24200
L00255,Lexus,2009,316200,Jeddah,good,18,77,2025-08,73100
L00256,Chevrolet,2016,179900,Jeddah,excellent,18,13,2024-01,25400
L00257,Toyota,2012,250500,Dammam,excellent,14,57,2025-03,20900
L00258,Hyundai,2008,354800,Jeddah,good,17,26,2024-03,10700
L00259,Toyota,2018,170400,Jeddah,good,15,81,2025-05,35100
L00260,BMW,2009,322900,Jeddah,fair,12,18,2025-02,41700
L00261,Toyota,2025,19700,Riyadh,good,16,56,2025-06,94000
L00262,Ford,2023,61700,Riyadh,good,18,51,2024-02,61600
L00263,Hyundai,2012,209600,Madinah,good,24,75,2025-03,16900
L00264,Chevrolet,2010,302000,Riyadh,excellent,20,15,2024-04,17200
L00265,Hyundai,2021,84300,Dammam,good,22,2,2024-06,41400
L00266,Nissan,2014,232800,Makkah,excellent,20,18,2025-09,27900
L00267,Toyota,2022,90900,Riyadh,excellent,14,16,2025-02,101500
L00268,Hyundai,2010,340700,Madinah,fair,10,59,2024-08,9100
L00269,Lexus,2015,185300,Riyadh,good,10,5,2024-12,48900
L00270,Toyota,2010,266700,Jeddah,good,7,71,2024-01,9700
L00271,Kia,2018,173700,Dammam,good,20,30,2024-06,20200
L00272,Toyota,2025,35300,Jeddah,good,17,31,2024-03,51600
L00273,Ford,2014,217700,Dammam,fair,4,58,2024-10,14800
L00274,Hyundai,2012,232700,Riyadh,good,23,54,2025-08,13100
L00275,Lexus,2019,157800,Madinah,excellent,3,13,2025-03,121100
L00276,Mercedes,2012,195900,Dammam,good,13,43,2025-09,33500
L00277,Nissan,2022,101900,Dammam,good,6,3,2024-03,54300
L00278,Ford,2019,144900,Makkah,excellent,16,12,2024-10,39400
L00279,Ford,2014,246500,Riyadh,excellent,20,2,2025-09,23900
L00280,Toyota,2008,322500,Jeddah,good,17,75,2025-10,8300
L00281,Mazda,2014,270900,Madinah,good,16,83,2024-06,16500
L00282,Ford,2013,239400,Riyadh,fair,20,24,2025-10,13400
L00283,Ford,2018,127200,Dammam,fair,19,6,2024-12,38900
L00284,Lexus,2017,157800,Dammam,good,7,0,2025-07,60500
L00285,Ford,2017,205800,Dammam,good,8,2,2024-06,32600
L00286,Ford,2023,65800,Riyadh,good,16,18,2025-03,60900
L00287,Toyota,2025,34500,Riyadh,good,20,60,2025-01,87900
L00288,Hyundai,2017,143600,Riyadh,fair,24,67,2024-12,36500
L00289,Mazda,2019,144500,Jeddah,fair,3,22,2024-11,28200
L00290,Toyota,2008,323400,Riyadh,good,5,16,2024-11,8000
L00291,Chevrolet,2010,234700,Makkah,good,16,66,2024-09,13200
L00292,Toyota,2024,52600,Dammam,good,22,87,2025-06,67900
L00293,Hyundai,2010,260800,Riyadh,excellent,10,41,2025-09,12900
L00294,Nissan,2014,273200,Dammam,excellent,12,0,2025-09,19700
L00295,Ford,2011,283900,Jeddah,excellent,8,11,2024-08,11200
L00296,Hyundai,2021,104300,Madinah,fair,12,50,2024-06,40300
L00297,Kia,2025,29600,Riyadh,good,15,87,2024-11,37700
L00298,Toyota,2011,358000,Madinah,excellent,9,73,2025-01,17700
L00299,Nissan,2022,59200,Dammam,excellent,24,21,2025-09,49600
L00300,Lexus,2016,101600,Riyadh,fair,15,83,2025-07,93300
L00301,Hyundai,2009,404300,Madinah,fair,8,86,2024-05,11700
L00302,Hyundai,2017,180100,Dammam,good,24,29,2025-02,47600
L00303,Toyota,2024,60400,Riyadh,excellent,11,22,2024-07,62900
L00304,BMW,2010,253700,Dammam,fair,18,60,2024-04,34700
L00305,BMW,2019,138000,Jeddah,excellent,11,39,2025-06,76700
L00306,Toyota,2025,35800,Jeddah,good,8,85,2024-10,59500
L00307,Mazda,2012,279900,Makkah,good,11,19,2024-01,19600
L00308,Hyundai,2009,265800,Jeddah,excellent,23,39,2025-06,12800
L00309,Ford,2013,329900,Makkah,good,4,53,2025-08,15900
L00310,Lexus,2013,190300,Riyadh,good,19,45,2025-01,35400
L00311,BMW,2015,176000,Makkah,good,20,53,2024-08,109200
L00312,Mercedes,2024,43900,Riyadh,fair,4,87,2025-02,196200
L00313,Ford,2020,109400,Jeddah,excellent,4,28,2025-08,40500
L00314,Kia,2021,99500,Riyadh,good,7,10,2024-03,49900
L00315,Toyota,2024,26800,Dammam,excellent,17,61,2025-10,54500
L00316,Ford,2022,110100,Riyadh,good,15,8,2025-06,37300
L00317,Toyota,2022,72700,Jeddah,excellent,9,89,2025-06,32900
L00318,Ford,2019,122400,Makkah,fair,3,42,2025-10,41500
L00319,Toyota,2011,359800,Riyadh,good,7,3,2024-07,9800
L00320,Chevrolet,2012,298600,Jeddah,good,10,37,2024-04,21100
L00321,Chevrolet,2018,190800,Riyadh,good,7,39,2024-08,34700
L00322,Lexus,2025,18600,Dammam,excellent,15,89,2025-04,260300
L00323,Toyota,2013,232900,Riyadh,good,18,46,2024-08,23000
L00324,Kia,2021,73000,Makkah,good,13,39,2025-07,43500
L00325,BMW,2009,347100,Jeddah,excellent,18,65,2024-02,30400
L00326,Hyundai,2024,55200,Riyadh,good,4,85,2024-10,75100
L00327,Toyota,2021,84600,Riyadh,good,17,11,2024-09,48600
L00328,Toyota,2014,256100,Madinah,excellent,4,64,2025-09,17200
L00329,Mercedes,2020,139700,Dammam,fair,9,6,2024-02,130200
L00330,Ford,2017,148000,Riyadh,good,22,49,2025-02,38800
L00331,Ford,2015,233200,Riyadh,excellent,3,13,2025-06,20900
L00332,Hyundai,2018,152900,Dammam,fair,8,39,2025-08,31600
L00333,Nissan,2017,188200,Jeddah,good,23,55,2024-11,17700
L00334,Toyota,2015,240800,Dammam,fair,19,61,2025-09,26700
L00335,Toyota,2009,281200,Riyadh,good,7,81,2025-07,10000
L00336,Hyundai,2008,385800,Riyadh,good,14,78,2024-08,8400
L00337,Mercedes,2011,269200,Jeddah,fair,24,31,2024-11,36400
L00338,Toyota,2021,88600,Dammam,fair,9,27,2025-01,32600
L00339,Ford,2023,57400,Dammam,fair,22,28,2025-05,100100
L00340,Ford,2011,294000,Makkah,fair,24,51,2025-03,10400
L00341,Chevrolet,2010,237400,Dammam,good,17,53,2024-01,9900
L00342,Mercedes,2015,214600,Riyadh,excellent,3,14,2025-03,39500
L00343,Hyundai,2025,7000,Jeddah,excellent,19,34,2025-08,63100
L00344,Mazda,2014,226600,Riyadh,good,5,29,2025-03,18500
L00345,Nissan,2021,67900,Riyadh,fair,15,72,2024-12,63700
L00346,Nissan,2021,99300,Jeddah,good,7,32,2024-10,48400
L00347,Toyota,2016,234300,Dammam,fair,16,25,2024-08,23100
L00348,Toyota,2013,244100,Jeddah,excellent,4,5,2024-09,22200
L00349,Hyundai,2018,133700,Riyadh,good,14,70,2024-03,44100
L00350,Ford,2011,362800,Riyadh,good,19,48,2024-05,16100
L00351,Hyundai,2023,51000,Riyadh,good,4,33,2024-07,47800
L00352,Ford,2012,250600,Riyadh,good,22,44,2025-07,11900
L00353,Toyota,2023,74600,Jeddah,excellent,15,47,2025-10,62700
L00354,Lexus,2017,162900,Makkah,good,9,23,2024-07,96400
L00355,Mercedes,2017,192500,Riyadh,excellent,10,72,2024-09,94600
L00356,BMW,2022,75000,Jeddah,good,8,89,2025-10,164600
L00357,Hyundai,2017,192100,Jeddah,good,15,81,2024-11,31500
L00358,BMW,2012,240900,Makkah,fair,20,18,2024-09,43000
L00359,Nissan,2020,132200,Jeddah,excellent,23,23,2024-05,39700
L00360,Hyundai,2014,192800,Jeddah,good,12,42,2025-09,23700
L00361,Hyundai,2023,52000,Riyadh,good,16,36,2024-03,67400
L00362,Nissan,2013,321500,Makkah,fair,5,73,2025-04,23100
L00363,Ford,2014,223700,Riyadh,excellent,19,42,2025-07,15800
L00364,BMW,2017,184900,Makkah,excellent,4,46,2024-02,64100
L00365,Toyota,2008,373700,Jeddah,good,4,49,2024-10,8000
L00366,Toyota,2022,74400,Dammam,fair,16,31,2024-03,39100
L00367,Kia,2011,319100,Jeddah,fair,4,10,2025-01,16100
L00368,Toyota,2016,159500,Riyadh,good,11,86,2024-09,23700
L00369,Hyundai,2018,157800,Riyadh,good,16,37,2024-10,19200
L00370,Toyota,2019,131400,Dammam,fair,19,7,2025-08,42500
L00371,Nissan,2010,298800,Riyadh,excellent,3,59,2024-05,13100
L00372,Mercedes,2014,237900,Riyadh,fair,9,29,2025-09,73900
L00373,Lexus,2013,231100,Riyadh,excellent,8,55,2024-10,81400
L00374,Kia,2015,168100,Riyadh,good,22,74,2024-07,15300
L00375,Chevrolet,2021,84800,Riyadh,excellent,5,32,2024-03,55000
L00376,Ford,2009,278300,Dammam,good,15,88,2025-04,9000
L00377,Toyota,2024,35400,Makkah,good,22,22,2024-06,66400
L00378,Chevrolet,2008,332100,Jeddah,excellent,16,28,2025-06,12900
L00379,Nissan,2023,35900,Makkah,fair,8,9,2024-02,64500
L00380,Kia,2008,361600,Makkah,good,15,19,2024-03,10300
L00381,Hyundai,2009,271300,Riyadh,excellent,4,64,2024-09,8000
L00382,Hyundai,2025,6200,Riyadh,good,22,25,2024-06,77200
L00383,Nissan,2012,334300,Riyadh,excellent,9,68,2025-02,20600
L00384,Kia,2010,352600,Makkah,good,9,86,2024-11,22700
L00385,Hyundai,2021,70000,Jeddah,good,19,41,2024-08,48200
L00386,Hyundai,2017,157100,Riyadh,fair,5,44,2025-06,46000
L00387,Toyota,2009,373100,Jeddah,fair,12,21,2025-05,11400
L00388,Mazda,2023,47200,Riyadh,fair,12,71,2025-01,35400
L00389,Hyundai,2024,56200,Makkah,good,7,50,2024-02,46900
L00390,Ford,2013,193100,Jeddah,good,16,68,2024-09,17300
