request_id,district,category,hour_of_day,day_of_week,month,is_ramadan,resolution_hours
R000126,district_23,road_damage,9,Fri,12,0,63.8
R000127,district_22,flooding,10,Mon,8,0,28.0
R000128,district_18,lighting,5,Thu,7,0,78.2
R000129,district_02,lighting,1,Sun,12,0,50.6
R000130,district_16,road_damage,10,Sat,12,0,22.1
R000131,district_11,lighting,11,Wed,3,0,26.2
R000132,district_06,road_damage,20,Thu,11,0,24.6
R000133,district_13,waste,3,Tue,7,0,30.8
R000134,district_03,lighting,9,Fri,4,0,10.2
R000135,district_15,flooding,19,Tue,1,0,37.5
R000136,district_08,flooding,2,Tue,2,0,91.4
R000137,district_01,waste,10,Fri,11,0,3.9
R000138,district_05,road_damage,4,Thu,6,0,32.2
R000139,district_23,waste,4,Sat,1,1,77.2
R000140,district_10,encroachment,2,Sun,10,0,50.2
R000141,district_05,waste,16,Thu,6,0,13.5
R000142,district_22,flooding,11,Thu,7,0,25.8
R000143,district_11,flooding,7,Tue,7,0,10.5
R000144,district_16,lighting,13,Tue,7,1,18.9
R000145,district_13,road_damage,12,Fri,2,1,71.9
R000146,district_04,encroachment,10,Tue,6,0,67.2
R000147,district_19,road_damage,7,Mon,12,0,22.5
R000148,district_24,waste,9,Sat,9,0,7.3
R000149,district_15,road_damage,23,Sun,5,0,45.6
R000150,district_22,waste,5,Fri,11,0,60.7
R000151,district_21,flooding,18,Mon,4,0,32.5
R000152,district_09,road_damage,0,Sat,7,0,68.2
R000153,district_14,road_damage,11,Wed,12,0,92.6
R000154,district_23,waste,11,Sun,6,0,101.3
R000155,district_23,road_damage,17,Sat,3,0,58.7
R000156,district_02,road_damage,4,Mon,3,0,75.8
R000157,district_17,road_damage,7,Wed,7,0,43.5
R000158,district_16,road_damage,12,Mon,3,0,74.6
R000159,district_05,flooding,6,Sat,10,0,9.4
R000160,district_13,road_damage,0,Tue,7,0,118.2
R000161,district_04,road_damage,3,Sun,1,0,131.2
R000162,district_13,road_damage,6,Fri,9,0,46.4
R000163,district_08,encroachment,3,Sat,9,0,31.3
R000164,district_10,waste,17,Thu,3,0,73.7
R000165,district_20,encroachment,14,Fri,3,1,56.0
R000166,district_23,encroachment,8,Sat,7,0,97.0
R000167,district_06,flooding,7,Fri,6,0,59.5
R000168,district_02,flooding,23,Sun,9,0,49.6
R000169,district_21,waste,18,Sun,10,0,24.9
R000170,district_06,lighting,22,Thu,11,0,57.0
R000171,district_04,waste,6,Mon,1,1,71.0
R000172,district_01,flooding,22,Fri,8,1,104.7
R000173,district_14,road_damage,2,Tue,10,0,75.3
R000174,district_24,lighting,19,Sun,1,0,18.2
R000175,district_23,road_damage,20,Mon,6,1,113.0
R000176,district_13,road_damage,8,Tue,5,0,21.2
R000177,district_04,road_damage,8,Sun,7,0,14.3
R000178,district_10,lighting,4,Thu,4,1,43.1
R000179,district_03,flooding,22,Thu,1,0,10.7
R000180,district_18,waste,7,Wed,5,0,80.2
R000181,district_12,lighting,3,Tue,6,0,54.9
R000182,district_09,road_damage,4,Wed,6,0,40.3
R000183,district_11,lighting,22,Tue,6,0,90.0
R000184,district_20,flooding,7,Sun,5,0,63.4
R000185,district_10,waste,10,Mon,2,0,57.5
R000186,district_18,flooding,3,Fri,4,0,135.8
R000187,district_01,waste,3,Wed,4,0,51.1
R000188,district_16,waste,4,Wed,11,0,93.4
R000189,district_11,road_damage,9,Mon,9,0,77.8
R000190,district_11,waste,20,Sat,5,0,48.4
R000191,district_11,waste,6,Tue,7,0,65.7
R000192,district_05,flooding,0,Fri,1,1,219.7
R000193,district_19,road_damage,21,Sat,11,0,79.6
R000194,district_20,waste,18,Tue,5,0,70.6
R000195,district_09,waste,5,Thu,4,1,88.0
R000196,district_17,waste,7,Mon,3,0,117.8
R000197,district_06,waste,8,Mon,3,0,69.7
R000198,district_16,waste,19,Mon,4,0,44.3
R000199,district_08,encroachment,5,Sat,1,0,8.4
R000200,district_18,road_damage,23,Fri,5,0,54.4
R000201,district_19,lighting,0,Thu,6,0,144.2
R000202,district_17,lighting,9,Wed,3,0,94.6
R000203,district_24,lighting,4,Tue,10,0,31.8
R000204,district_09,waste,19,Mon,2,0,79.8
R000205,district_05,road_damage,11,Sun,10,0,33.4
R000206,district_13,flooding,21,Tue,1,0,68.1
R000207,district_08,lighting,16,Thu,10,0,44.3
R000208,district_19,waste,1,Fri,6,0,104.5
R000209,district_04,encroachment,4,Tue,1,0,22.8
R000210,district_24,encroachment,13,Thu,12,0,138.5
R000211,district_08,road_damage,17,Wed,2,0,16.6
R000212,district_04,waste,23,Fri,7,0,75.9
R000213,district_08,waste,5,Thu,5,0,47.1
R000214,district_17,road_damage,6,Sun,11,0,48.2
R000215,district_03,road_damage,18,Sun,3,0,93.6
R000216,district_14,waste,21,Wed,9,0,50.7
R000217,district_05,road_damage,11,Mon,11,0,71.4
R000218,district_18,flooding,13,Wed,5,0,73.5
R000219,district_23,flooding,14,Wed,5,1,150.5
R000220,district_19,encroachment,16,Fri,4,0,22.7
R000221,district_06,encroachment,12,Sat,12,0,101.3
R000222,district_08,lighting,7,Fri,12,0,23.5
R000223,district_15,road_damage,20,Mon,1,0,36.1
R000224,district_07,lighting,17,Thu,2,0,48.7
R000225,district_01,flooding,18,Fri,5,0,14.5
R000226,district_05,encroachment,12,Tue,4,0,5.2
R000227,district_17,encroachment,6,Sun,5,0,82.0
R000228,district_04,encroachment,7,Fri,6,1,13.1
R000229,district_17,waste,18,Fri,2,0,116.6
R000230,district_19,waste,22,Tue,11,0,65.8
R000231,district_23,flooding,7,Wed,8,0,38.3
R000232,district_04,road_damage,0,Mon,6,1,73.8
R000233,district_16,waste,1,Mon,4,0,40.4
R000234,district_04,lighting,7,Sun,8,0,56.5
R000235,district_11,waste,5,Thu,9,0,135.3
R000236,district_05,road_damage,16,Sat,10,0,125.0
R000237,district_07,waste,21,Tue,10,0,122.8
R000238,district_06,road_damage,21,Tue,4,0,31.4
R000239,district_01,waste,2,Sat,11,0,23.7
R000240,district_20,lighting,8,Sat,6,0,62.3
R000241,district_04,encroachment,6,Mon,12,0,37.7
R000242,district_22,lighting,10,Sat,5,0,120.4
R000243,district_19,road_damage,20,Mon,3,0,15.5
R000244,district_09,waste,18,Tue,1,0,45.7
R000245,district_10,road_damage,17,Sat,7,0,86.3
R000246,district_15,lighting,4,Fri,2,0,96.7
R000247,district_10,road_damage,14,Tue,6,0,12.1
R000248,district_20,waste,10,Thu,11,0,73.7
R000249,district_10,waste,16,Sun,8,0,6.0
R000250,district_23,road_damage,17,Thu,1,0,38.9
R000251,district_24,encroachment,11,Mon,6,0,42.1
R000252,district_01,encroachment,15,Sun,11,0,42.2
R000253,district_10,waste,1,Sun,11,0,90.3
R000254,district_03,waste,3,Wed,9,0,87.6
R000255,district_06,lighting,23,Thu,8,0,27.8
R000256,district_11,flooding,12,Fri,8,0,10.1
R000257,district_09,lighting,11,Mon,6,0,84.9
R000258,district_13,waste,17,Thu,11,1,63.0
R000259,district_01,road_damage,7,Tue,7,0,81.8
R000260,district_12,waste,5,Mon,6,0,41.0
R000261,district_11,road_damage,8,Sat,1,0,77.6
R000262,district_08,encroachment,3,Sun,11,0,22.3
R000263,district_16,waste,6,Tue,4,0,42.7
R000264,district_16,waste,0,Mon,10,0,52.9
R000265,district_03,lighting,22,Fri,6,0,43.7
R000266,district_14,lighting,17,Tue,7,0,85.7
R000267,district_07,waste,1,Tue,10,0,55.7
R000268,district_14,road_damage,23,Tue,2,0,27.8
R000269,district_02,flooding,14,Sun,2,0,42.6
R000270,district_10,waste,0,Tue,4,0,17.1
R000271,district_24,encroachment,17,Mon,11,0,27.8
R000272,district_19,road_damage,18,Tue,4,0,54.0
R000273,district_11,lighting,1,Mon,1,0,15.8
R000274,district_15,road_damage,0,Thu,3,0,20.4
R000275,district_11,waste,6,Sat,5,0,34.0
R000276,district_16,waste,0,Tue,3,1,100.1
R000277,district_18,road_damage,0,Sun,4,0,59.3
R000278,district_20,road_damage,15,Tue,1,0,32.5
R000279,district_22,road_damage,3,Mon,1,0,86.2
R000280,district_15,lighting,5,Sat,8,0,10.9
R000281,district_09,road_damage,1,Fri,8,0,74.3
R000282,district_17,waste,19,Wed,4,0,12.2
R000283,district_11,road_damage,5,Sat,1,0,14.3
R000284,district_18,flooding,14,Mon,5,0,9.9
R000285,district_07,road_damage,20,Wed,8,0,90.3
R000286,district_02,encroachment,11,Sat,2,0,19.8
R000287,district_19,flooding,11,Fri,1,0,30.1
R000288,district_07,road_damage,16,Thu,8,0,17.6
R000289,district_08,road_damage,5,Thu,8,0,39.6
R000290,district_14,flooding,12,Tue,2,0,81.2
R000291,district_11,waste,5,Wed,4,0,85.3
R000292,district_10,waste,9,Sun,12,0,71.2
R000293,district_18,road_damage,18,Sun,10,0,83.2
R000294,district_19,lighting,2,Thu,2,0,9.7
R000295,district_24,waste,12,Fri,10,0,81.7
R000296,district_23,road_damage,11,Tue,2,1,117.6
R000297,district_22,encroachment,22,Thu,5,0,28.0
R000298,district_09,waste,0,Thu,9,0,35.3
R000299,district_13,lighting,21,Fri,6,0,22.4
R000300,district_24,lighting,20,Sun,10,0,96.6
R000301,district_04,waste,21,Sat,9,0,91.0
R000302,district_05,waste,13,Mon,9,0,67.7
R000303,district_12,waste,22,Mon,8,1,31.0
R000304,district_02,waste,17,Sun,12,0,74.0
R000305,district_05,waste,17,Mon,9,0,48.3
R000306,district_12,road_damage,1,Sun,8,0,144.7
R000307,district_05,road_damage,17,Sun,3,0,63.0
R000308,district_04,flooding,5,Fri,9,0,11.7
R000309,district_02,flooding,19,Thu,2,0,109.7
R000310,district_16,encroachment,18,Thu,2,0,9.4
R000311,district_07,lighting,23,Fri,5,0,54.3
R000312,district_14,lighting,18,Fri,2,1,20.3
R000313,district_16,encroachment,20,Tue,4,0,42.8
R000314,district_17,lighting,1,Sat,1,0,49.8
R000315,district_21,road_damage,18,Sun,10,0,48.5
R000316,district_22,lighting,22,Wed,7,0,8.0
R000317,district_08,road_damage,4,Tue,3,0,34.2
R000318,district_12,lighting,4,Fri,1,0,20.0
R000319,district_11,waste,12,Fri,11,0,52.2
R000320,district_16,waste,13,Fri,1,0,17.3
R000321,district_03,lighting,22,Tue,3,0,70.5
R000322,district_03,lighting,17,Fri,2,0,85.8
R000323,district_11,waste,1,Wed,9,0,74.5
R000324,district_03,road_damage,15,Fri,4,0,38.9
R000325,district_06,road_damage,23,Mon,1,0,53.8
R000326,district_09,waste,14,Thu,8,0,57.3
R000327,district_22,lighting,10,Sat,12,0,30.7
R000328,district_19,encroachment,5,Wed,1,0,53.7
R000329,district_14,lighting,22,Sat,4,0,117.8
R000330,district_22,waste,18,Sun,12,0,133.3
R000331,district_09,lighting,19,Tue,4,0,33.2
R000332,district_09,waste,10,Sat,3,0,54.1
R000333,district_23,lighting,17,Thu,4,0,104.3
R000334,district_19,encroachment,1,Tue,12,0,155.3
R000335,district_05,encroachment,20,Sat,2,0,23.6
R000336,district_07,lighting,0,Mon,12,0,80.6
R000337,district_16,waste,12,Wed,7,0,84.2
R000338,district_18,flooding,1,Fri,2,0,74.3
R000339,district_08,lighting,20,Thu,5,0,33.4
R000340,district_03,road_damage,10,Sun,3,1,94.0
R000341,district_04,waste,3,Wed,7,0,103.5
R000342,district_12,waste,18,Sat,9,0,124.7
R000343,district_02,lighting,18,Thu,11,0,13.3
R000344,district_08,flooding,0,Mon,6,0,118.3
R000345,district_03,road_damage,21,Thu,10,0,29.0
R000346,district_12,waste,10,Thu,12,0,13.2
R000347,district_19,waste,16,Fri,6,0,151.3
R000348,district_16,road_damage,5,Sat,7,0,28.2
R000349,district_03,encroachment,4,Wed,8,0,17.9
R000350,district_14,lighting,16,Tue,2,1,47.2
R000351,district_20,road_damage,12,Thu,8,0,26.4
R000352,district_01,flooding,22,Sat,11,0,71.8
R000353,district_23,waste,2,Wed,6,0,50.7
R000354,district_09,lighting,11,Mon,3,1,14.6
R000355,district_15,encroachment,22,Tue,12,0,63.5
R000356,district_18,waste,21,Tue,4,0,88.2
R000357,district_24,waste,0,Fri,2,0,100.8
R000358,district_20,road_damage,13,Wed,3,0,63.6
R000359,district_02,waste,15,Wed,10,0,40.0
R000360,district_20,road_damage,4,Fri,8,0,126.7
R000361,district_19,encroachment,8,Mon,9,0,25.0
R000362,district_04,road_damage,8,Fri,4,0,60.3
R000363,district_21,encroachment,5,Sat,2,0,63.4
R000364,district_13,waste,14,Thu,6,0,27.9
R000365,district_11,lighting,12,Tue,8,0,86.1
R000366,district_19,lighting,17,Mon,10,0,41.9
R000367,district_10,encroachment,18,Thu,3,0,58.6
R000368,district_20,waste,3,Tue,5,0,18.5
R000369,district_22,flooding,17,Thu,2,0,57.3
R000370,district_11,road_damage,14,Wed,6,0,98.5
R000371,district_12,road_damage,10,Fri,3,0,58.1
R000372,district_09,lighting,14,Sun,4,0,26.0
R000373,district_05,flooding,6,Sat,8,0,75.8
R000374,district_19,road_damage,19,Sat,5,1,66.8
R000375,district_20,flooding,17,Sat,10,0,38.4
R000376,district_15,road_damage,1,Fri,3,0,94.6
R000377,district_10,waste,14,Wed,8,0,92.1
R000378,district_13,waste,6,Thu,11,0,12.6
R000379,district_17,flooding,5,Fri,12,0,113.8
R000380,district_19,waste,23,Sun,6,0,96.6
R000381,district_11,flooding,13,Sat,6,0,32.4
R000382,district_04,flooding,12,Fri,1,0,40.2
R000383,district_06,road_damage,12,Sun,6,0,105.6
R000384,district_12,waste,15,Fri,6,0,57.5
R000385,district_18,waste,11,Sun,12,0,92.0
R000386,district_06,encroachment,16,Sun,3,0,54.9
R000387,district_22,waste,19,Tue,7,0,33.2
R000388,district_13,flooding,12,Mon,7,0,59.1
R000389,district_09,waste,9,Thu,10,0,28.9
R000390,district_20,road_damage,1,Thu,5,0,84.5
R000391,district_23,encroachment,19,Mon,3,0,49.5
R000392,district_24,encroachment,3,Mon,7,0,48.2
R000393,district_15,road_damage,1,Fri,11,0,43.4
R000394,district_10,encroachment,20,Sun,2,0,45.3
R000395,district_15,road_damage,10,Wed,11,0,18.1
R000396,district_21,road_damage,16,Wed,5,0,127.9
R000397,district_08,encroachment,10,Tue,1,0,39.0
R000398,district_15,road_damage,1,Fri,2,0,50.5
R000399,district_06,encroachment,22,Thu,6,0,59.0
R000400,district_19,road_damage,20,Sat,7,0,9.9
R000401,district_02,encroachment,17,Thu,6,0,14.7
R000402,district_11,flooding,2,Thu,6,0,17.1
R000403,district_04,road_damage,11,Fri,11,0,139.3
R000404,district_16,encroachment,17,Wed,11,0,6.4
R000405,district_01,lighting,13,Mon,9,0,76.9
R000406,district_23,waste,9,Fri,12,0,149.0
R000407,district_07,road_damage,20,Wed,7,0,64.8
R000408,district_20,waste,17,Tue,1,0,26.6
R000409,district_11,encroachment,0,Mon,7,0,33.6
R000410,district_20,road_damage,8,Tue,6,0,29.7
R000411,district_01,flooding,19,Thu,5,1,61.6
R000412,district_11,waste,5,Sat,9,0,53.9
R000413,district_24,lighting,16,Tue,10,0,82.5
R000414,district_24,road_damage,11,Sat,11,0,23.9
R000415,district_03,road_damage,0,Fri,4,0,68.8
R000416,district_16,waste,5,Tue,8,0,20.0
R000417,district_05,flooding,5,Sat,6,0,37.1
R000418,district_06,road_damage,10,Thu,3,0,23.8
R000419,district_23,lighting,19,Sun,9,0,88.0
R000420,district_02,lighting,10,Tue,4,0,30.9
R000421,district_21,lighting,18,Fri,6,0,222.1
R000422,district_15,encroachment,8,Mon,12,0,26.9
R000423,district_04,encroachment,6,Sat,1,0,70.4
R000424,district_01,road_damage,2,Sun,12,0,179.4
R000425,district_07,waste,22,Tue,4,0,19.8
R000426,district_11,flooding,9,Tue,4,0,32.1
R000427,district_22,waste,2,Sun,3,0,25.3
R000428,district_15,waste,22,Sun,1,0,97.6
R000429,district_24,waste,16,Mon,5,0,94.9
R000430,district_14,encroachment,12,Fri,1,0,55.1
R000431,district_23,lighting,3,Wed,4,0,34.7
R000432,district_05,encroachment,17,Sun,7,0,82.0
R000433,district_13,road_damage,12,Wed,3,0,24.6
R000434,district_22,flooding,22,Sun,8,0,14.4
R000435,district_02,lighting,4,Tue,5,0,37.9
R000436,district_23,waste,22,Tue,7,0,47.6
R000437,district_07,lighting,21,Mon,5,0,33.7
R000438,district_22,waste,19,Sun,11,0,66.1
R000439,district_11,flooding,5,Mon,6,0,24.2
R000440,district_01,lighting,9,Fri,3,1,24.7
R000441,district_16,encroachment,3,Tue,3,0,78.3
R000442,district_24,road_damage,12,Tue,7,0,39.2
R000443,district_23,flooding,6,Tue,6,1,21.1
R000444,district_13,waste,14,Tue,3,0,33.7
R000445,district_23,waste,17,Tue,4,0,149.8
R000446,district_07,encroachment,9,Tue,8,0,77.3
R000447,district_24,flooding,21,Mon,3,0,143.4
R000448,district_14,encroachment,13,Tue,3,0,67.7
R000449,district_12,waste,11,Wed,11,0,96.3
R000450,district_21,lighting,7,Thu,11,0,59.8
R000451,district_24,waste,7,Mon,5,0,71.1
R000452,district_11,flooding,6,Mon,8,0,33.1
R000453,district_12,waste,1,Tue,5,1,26.2
R000454,district_21,road_damage,19,Wed,1,1,16.9
R000455,district_02,road_damage,13,Sat,2,0,74.4
R000456,district_22,waste,17,Sat,11,0,42.7
R000457,district_05,flooding,19,Tue,1,0,10.1
R000458,district_11,waste,18,Fri,5,1,79.9
R000459,district_18,waste,17,Wed,9,0,13.6
R000460,district_20,waste,11,Sat,9,0,24.2
R000461,district_24,waste,4,Fri,5,0,36.7
R000462,district_11,road_damage,22,Wed,8,0,54.1
R000463,district_18,flooding,10,Sat,5,1,50.7
R000464,district_05,road_damage,10,Tue,7,0,30.4
R000465,district_16,waste,1,Thu,7,0,112.4
R000466,district_15,waste,5,Tue,6,0,99.9
R000467,district_05,lighting,20,Mon,6,0,54.7
R000468,district_22,waste,14,Mon,6,0,21.7
R000469,district_21,encroachment,2,Sat,2,0,51.2
R000470,district_03,encroachment,18,Mon,1,0,80.7
R000471,district_13,road_damage,14,Mon,2,0,27.5
R000472,district_24,waste,11,Wed,12,0,16.3
R000473,district_21,waste,4,Mon,10,0,31.2
R000474,district_02,waste,17,Wed,3,0,27.0
R000475,district_10,road_damage,23,Sun,4,0,15.5
R000476,district_11,lighting,6,Wed,11,0,24.1
R000477,district_22,waste,14,Fri,1,0,79.4
R000478,district_22,waste,2,Sat,5,0,21.3
R000479,district_04,encroachment,3,Wed,11,1,109.6
R000480,district_15,flooding,12,Sat,4,0,54.4
R000481,district_20,lighting,22,Fri,3,0,67.1
R000482,district_03,encroachment,0,Sat,7,1,54.3
R000483,district_11,waste,15,Mon,9,0,60.6
R000484,district_06,waste,13,Fri,2,0,76.2
R000485,district_22,waste,11,Fri,12,0,50.7
R000486,district_19,road_damage,7,Thu,11,0,25.0
R000487,district_05,road_damage,11,Sat,7,0,89.2
R000488,district_08,encroachment,9,Mon,2,0,10.3
R000489,district_14,waste,3,Tue,1,0,23.4
R000490,district_09,road_damage,11,Sat,10,0,66.9
R000491,district_05,road_damage,12,Sun,7,0,109.7
R000492,district_07,encroachment,2,Sun,9,0,60.1
R000493,district_08,lighting,16,Fri,11,0,132.2
R000494,district_18,waste,16,Wed,7,0,26.5
R000495,district_14,flooding,3,Thu,7,0,92.6
R000496,district_19,flooding,9,Sat,3,0,43.1
R000497,district_13,road_damage,22,Sun,6,0,56.2
R000498,district_24,waste,22,Wed,12,1,59.1
R000499,district_14,road_damage,0,Sat,3,0,166.8
R000500,district_16,road_damage,4,Wed,2,0,21.4
R000501,district_15,road_damage,20,Fri,4,0,62.5
R000502,district_09,lighting,10,Thu,9,0,35.7
R000503,district_09,encroachment,13,Fri,8,1,20.3
R000504,district_22,road_damage,5,Sun,7,0,81.2
R000505,district_17,road_damage,22,Sun,5,0,64.7
R000506,district_11,road_damage,3,Tue,11,0,29.1
R000507,district_01,waste,15,Fri,12,0,20.2
R000508,district_09,encroachment,3,Tue,2,0,51.2
R000509,district_01,lighting,6,Sat,9,0,27.9
R000510,district_20,lighting,5,Sun,5,0,46.4
R000511,district_13,road_damage,3,Thu,1,0,60.4
R000512,district_15,flooding,5,Mon,5,0,73.9
R000513,district_13,lighting,16,Sat,6,0,44.4
R000514,district_13,encroachment,4,Sat,11,0,52.8
R000515,district_22,road_damage,21,Tue,11,0,43.1
R000516,district_01,waste,18,Thu,3,0,42.7
R000517,district_14,road_damage,4,Wed,6,0,147.2
R000518,district_20,flooding,14,Sun,3,0,11.5
R000519,district_08,road_damage,4,Wed,9,0,23.8
R000520,district_18,flooding,21,Fri,9,0,96.0
R000521,district_24,lighting,5,Mon,8,0,15.5
R000522,district_24,waste,19,Thu,2,0,9.2
R000523,district_08,lighting,21,Wed,6,0,78.5
R000524,district_04,flooding,15,Sat,8,0,48.3
R000525,district_02,road_damage,7,Wed,6,0,97.9
R000526,district_15,waste,18,Sun,6,0,57.8
R000527,district_16,flooding,12,Tue,1,1,3.2
R000528,district_14,waste,2,Fri,4,0,72.8
R000529,district_06,lighting,2,Fri,12,0,96.9
R000530,district_21,flooding,15,Sat,6,0,34.8
R000531,district_05,flooding,12,Thu,11,0,36.1
R000532,district_22,flooding,13,Fri,8,0,54.9
R000533,district_05,encroachment,16,Sat,1,0,22.3
